收录日期,微信,qq,telegram,twitter,涉案原因,涉案金额
早期,wanghui2568617000?,,,,两头骗人，说上手有雌,未知
早期,wyn6688,,,,骗财骗色,5000以上
早期,xyabby13920,,,,付款失联,5000
早期,ao095822,1575186204,,CdKVTNK8tubw4cR,假药商，还用黑切骗,1k+
早期,,1253621766,,,骗子,未知
早期,,1316867106,,,假药商,未知
早期,,1357817699/2995379387,,,假药商,未知
早期,,1438613145,,,假药商,未知
早期,,1793973622,,,假药商,未知
早期,,2093708294,,,假药商,未知
早期,,2222122501,,,假药商,未知
早期,,2311861262,,,假药商,未知
早期,,2330373751,,,假药商,未知
早期,,2722976979,,,假药商,未知
早期,,2980402273,,,假药商,未知
早期,,2762491168/3384396608,,,骗人说退坑出药,未知
早期,,3402103776/732513936/3587945035,,,出日雌，说40一支的骗子,未知
早期,,3457333465/192770696,,,假药商,未知
早期,,3463312502,,,假药商,未知
早期,,774091162,,,说退坑便宜出糖的骗子,未知
早期,,810060893,,,假药商,未知
早期,,990200068,,,弟弟是药娘进入药娘圈手上有便宜药商,未知
早期,,2568617000,,,假药商,未知
早期,,2574622898,,,买日雌法兽药(有群),未知
早期,,810060893/2093708294/2722976979 ,,,骗财骗色,未知
早期,,2242115247/2574622898,,,第一次发真药骗取信任，往后发假药,未知
早期,,群:1023929796,,,骗子窝。买日雌发兽药,未知
早期,,2184003865,,,居然把猫猫头也骗了,未知
早期,,1764949971,,,假药商,未知
早期,,1992841063,,,假药商,未知
早期,,1119306249,,,假药商,未知
早期,,2910852703,,,因为隔离出药+骗人自慰视频,未知
早期,,2014383923,,,假药商,未知
早期,,,@xinyuanabby,,付款失联,5000
早期,,,,taotaoziyo,骗猫猫头,5000
早期,,,,yunmengdd,著名骗子了,5000
2023/1/28,,,,yizhituanzi5236/xiaoximengmengd,先付款后发货，一直拖延不发货,未知
